instrument,datetime,$open,$close,$high,$low,$volume,$factor,计算除权价,计算前复权价,计算后复权价,前复权价_方法1,前复权价_方法2
SH600519,2024-08-30,191.19139,195.27637,197.28976,190.10892,286302.28,0.13530883,1443.1901,1443.19,1413.9661,1443.19,1473.0182
SH600519,2024-09-02,193.49167,188.75586,194.57414,188.75586,252271.66,0.13530886,1395.0,1394.9995,1366.7515,1394.9995,1423.8324
SH600519,2024-09-03,189.16168,190.78539,191.45923,188.48784,132198.36,0.13530879,1410.0,1410.0004,1381.4485,1410.0004,1439.1416
SH600519,2024-09-04,189.70305,189.43243,192.029,189.39725,105027.03,0.13530888,1400.0,1399.9994,1371.65,1399.9994,1428.9359
SH600519,2024-09-05,189.49997,190.09262,190.37949,189.0264,107184.086,0.1353088,1404.8799,1404.88,1376.432,1404.88,1433.9158
SH600519,2024-09-06,190.10896,189.1618,190.24428,189.1618,76277.63,0.13530888,1398.0,1397.9994,1369.6906,1397.9994,1426.8945
SH600519,2024-09-09,186.7275,186.0496,188.58124,185.38388,211645.88,0.1353088,1375.0,1375.0001,1347.1571,1375.0001,1403.4183
SH600519,2024-09-10,185.37578,186.45554,188.48517,185.37578,146352.92,0.13530882,1377.9999,1377.9999,1350.0961,1377.9999,1406.4805
SH600519,2024-09-11,186.13081,186.72617,187.52179,184.69653,155169.27,0.13530882,1380.0,1380.0,1352.0557,1380.0,1408.5219
SH600519,2024-09-12,186.72614,180.64536,187.40268,180.62506,354362.12,0.13530879,1335.06,1335.0604,1308.026,1335.0604,1362.6528
SH600519,2024-09-13,180.09601,176.46027,180.23132,175.5361,413905.9,0.1353088,1304.13,1304.1301,1277.7222,1304.1301,1331.0836
SH600519,2024-09-18,175.90154,171.4228,175.9029,171.39034,341332.47,0.13530888,1266.8999,1266.8994,1241.2452,1266.8994,1293.0848
SH600519,2024-09-19,170.75974,170.62444,174.93808,168.5718,443342.9,0.13530883,1261.0,1260.9999,1235.4652,1260.9999,1287.0625
SH600519,2024-09-20,170.69212,171.01958,172.36995,169.14014,295485.75,0.13530886,1263.92,1263.9196,1238.3258,1263.9196,1290.0432
SH600519,2024-09-23,171.57158,170.69748,175.02196,170.57841,336635.03,0.13530882,1261.5399,1261.5399,1235.9944,1261.5399,1287.6134
SH600519,2024-09-24,173.88411,185.72499,185.77911,171.17793,742100.56,0.13530889,1372.6001,1372.5994,1344.8049,1372.5994,1400.9698
SH600519,2024-09-25,189.4392,189.29712,193.08577,188.98726,546555.44,0.13530888,1399.0,1398.9994,1370.6703,1398.9994,1427.9153
SH600519,2024-09-26,189.42703,206.8873,207.00502,188.89122,718933.25,0.13530889,1529.0,1528.9991,1498.0377,1528.9991,1560.6023
SH600519,2024-09-27,216.49423,220.44525,220.44525,211.80713,649784.9,0.13530889,1629.2001,1629.1992,1596.2087,1629.1992,1662.8734
SH600519,2024-09-30,228.94254,236.51982,238.12729,223.53018,1.1624771e+06,0.13530882,1748.0001,1748.0001,1712.604,1748.0001,1784.1278
